,geography,stratum,date,resistance_pct,organism,series_id,model_region,prescribing_rate
60,East of England,Ciprofloxacin,2020-11-01,4.5,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.45
61,East of England,Piperacillin with tazobactam,2020-11-01,10.09,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.45
62,East of England,Macrolides,2020-11-01,11.54,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.45
63,East of England,Penicillin,2020-11-01,4.35,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.45
64,East of England,Glycopeptides,2020-12-01,24.67,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.41
65,East of England,Glycopeptides,2020-12-01,25.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.41
66,East of England,Amikacin,2020-12-01,1.42,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.41
67,East of England,Carbapenems,2020-12-01,2.15,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.41
68,East of England,Ciprofloxacin,2020-12-01,15.59,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.41
69,East of England,Co-amoxiclav,2020-12-01,35.14,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.41
70,East of England,Gentamicin,2020-12-01,10.11,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.41
71,East of England,Piperacillin with tazobactam,2020-12-01,24.18,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.41
72,East of England,Third Generation Cephalosporins,2020-12-01,14.89,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.41
73,East of England,Amikacin,2020-12-01,1.67,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.41
74,East of England,Carbapenems,2020-12-01,4.4,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.41
75,East of England,Ceftazidime,2020-12-01,10.99,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.41
76,East of England,Ciprofloxacin,2020-12-01,8.51,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.41
77,East of England,Piperacillin with tazobactam,2020-12-01,13.04,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.41
78,East of England,Macrolides,2020-12-01,9.52,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.41
79,East of England,Penicillin,2020-12-01,5.88,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.41
80,East of England,Glycopeptides,2021-01-01,26.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.34
81,East of England,Glycopeptides,2021-01-01,33.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.34
82,East of England,Amikacin,2021-01-01,1.29,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.34
83,East of England,Carbapenems,2021-01-01,1.43,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.34
84,East of England,Ciprofloxacin,2021-01-01,15.61,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.34
85,East of England,Co-amoxiclav,2021-01-01,33.33,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.34
86,East of England,Gentamicin,2021-01-01,9.22,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.34
87,East of England,Piperacillin with tazobactam,2021-01-01,20.49,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.34
88,East of England,Third Generation Cephalosporins,2021-01-01,12.21,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.34
89,East of England,Amikacin,2021-01-01,1.69,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.34
90,East of England,Carbapenems,2021-01-01,5.49,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.34
91,East of England,Ceftazidime,2021-01-01,10.87,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.34
92,East of England,Ciprofloxacin,2021-01-01,13.54,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.34
93,East of England,Piperacillin with tazobactam,2021-01-01,12.9,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.34
94,East of England,Macrolides,2021-01-01,0.0,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.34
95,East of England,Penicillin,2021-01-01,0.0,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.34
96,East of England,Glycopeptides,2021-02-01,28.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.3
97,East of England,Glycopeptides,2021-02-01,39.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.3
98,East of England,Amikacin,2021-02-01,1.19,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.3
99,East of England,Carbapenems,2021-02-01,0.87,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.3
100,East of England,Ciprofloxacin,2021-02-01,16.3,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.3
101,East of England,Co-amoxiclav,2021-02-01,32.89,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.3
102,East of England,Gentamicin,2021-02-01,11.45,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.3
103,East of England,Piperacillin with tazobactam,2021-02-01,23.56,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.3
104,East of England,Third Generation Cephalosporins,2021-02-01,11.69,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.3
105,East of England,Amikacin,2021-02-01,5.66,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.3
106,East of England,Carbapenems,2021-02-01,5.62,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.3
107,East of England,Ceftazidime,2021-02-01,12.36,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.3
108,East of England,Ciprofloxacin,2021-02-01,11.7,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.3
109,East of England,Piperacillin with tazobactam,2021-02-01,11.96,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.3
110,East of England,Macrolides,2021-02-01,0.0,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.3
111,East of England,Penicillin,2021-02-01,14.29,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.3
112,East of England,Glycopeptides,2021-03-01,28.67,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.27
113,East of England,Glycopeptides,2021-03-01,48.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.27
114,East of England,Amikacin,2021-03-01,0.58,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.27
115,East of England,Carbapenems,2021-03-01,0.44,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.27
116,East of England,Ciprofloxacin,2021-03-01,16.07,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.27
117,East of England,Co-amoxiclav,2021-03-01,34.08,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.27
118,East of England,Gentamicin,2021-03-01,10.67,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.27
119,East of England,Piperacillin with tazobactam,2021-03-01,25.79,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.27
120,East of England,Third Generation Cephalosporins,2021-03-01,11.56,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.27
121,East of England,Amikacin,2021-03-01,3.77,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.27
122,East of England,Carbapenems,2021-03-01,6.45,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.27
123,East of England,Ceftazidime,2021-03-01,8.51,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.27
124,East of England,Ciprofloxacin,2021-03-01,13.27,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.27
125,East of England,Piperacillin with tazobactam,2021-03-01,7.14,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.27
126,East of England,Macrolides,2021-03-01,7.14,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.27
127,East of England,Penicillin,2021-03-01,18.18,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.27
128,East of England,Glycopeptides,2021-04-01,29.0,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.25
129,East of England,Glycopeptides,2021-04-01,45.33,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.25
130,East of England,Amikacin,2021-04-01,0.66,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.25
131,East of England,Carbapenems,2021-04-01,0.5,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.25
132,East of England,Ciprofloxacin,2021-04-01,17.09,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.25
133,East of England,Co-amoxiclav,2021-04-01,33.67,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.25
134,East of England,Gentamicin,2021-04-01,10.4,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.25
135,East of England,Piperacillin with tazobactam,2021-04-01,25.51,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.25
136,East of England,Third Generation Cephalosporins,2021-04-01,14.14,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.25
137,East of England,Amikacin,2021-04-01,4.84,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.25
138,East of England,Carbapenems,2021-04-01,7.84,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.25
139,East of England,Ceftazidime,2021-04-01,7.92,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.25
140,East of England,Ciprofloxacin,2021-04-01,12.62,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.25
141,East of England,Piperacillin with tazobactam,2021-04-01,5.66,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.25
142,East of England,Macrolides,2021-04-01,14.29,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.25
143,East of England,Penicillin,2021-04-01,10.34,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.25
144,East of England,Glycopeptides,2021-05-01,32.67,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.26
145,East of England,Glycopeptides,2021-05-01,39.0,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.26
146,East of England,Amikacin,2021-05-01,0.0,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.26
147,East of England,Carbapenems,2021-05-01,0.54,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.26
148,East of England,Ciprofloxacin,2021-05-01,14.36,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.26
149,East of England,Co-amoxiclav,2021-05-01,29.83,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.26
150,East of England,Gentamicin,2021-05-01,8.11,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.26
151,East of England,Piperacillin with tazobactam,2021-05-01,19.23,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.26
152,East of England,Third Generation Cephalosporins,2021-05-01,13.51,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.26
153,East of England,Amikacin,2021-05-01,3.03,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.26
154,East of England,Carbapenems,2021-05-01,9.17,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.26
155,East of England,Ceftazidime,2021-05-01,4.76,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.26
156,East of England,Ciprofloxacin,2021-05-01,11.93,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.26
157,East of England,Piperacillin with tazobactam,2021-05-01,2.68,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.26
158,East of England,Macrolides,2021-05-01,15.56,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.26
159,East of England,Penicillin,2021-05-01,5.26,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.26
160,East of England,Glycopeptides,2021-06-01,32.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.27
161,East of England,Glycopeptides,2021-06-01,30.67,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.27
162,East of England,Amikacin,2021-06-01,0.0,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.27
163,East of England,Carbapenems,2021-06-01,0.0,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.27
164,East of England,Ciprofloxacin,2021-06-01,13.27,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.27
165,East of England,Co-amoxiclav,2021-06-01,29.95,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.27
166,East of England,Gentamicin,2021-06-01,7.58,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.27
167,East of England,Piperacillin with tazobactam,2021-06-01,19.5,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.27
168,East of England,Third Generation Cephalosporins,2021-06-01,13.93,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.27
169,East of England,Amikacin,2021-06-01,2.7,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.27
170,East of England,Carbapenems,2021-06-01,6.84,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.27
171,East of England,Ceftazidime,2021-06-01,5.5,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.27
172,East of England,Ciprofloxacin,2021-06-01,9.24,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.27
173,East of England,Piperacillin with tazobactam,2021-06-01,5.88,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.27
174,East of England,Macrolides,2021-06-01,16.67,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.27
175,East of England,Penicillin,2021-06-01,4.44,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.27
176,East of England,Glycopeptides,2021-07-01,35.0,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.29
177,East of England,Glycopeptides,2021-07-01,27.0,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.29
178,East of England,Amikacin,2021-07-01,1.23,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.29
179,East of England,Carbapenems,2021-07-01,0.0,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.29
180,East of England,Ciprofloxacin,2021-07-01,12.22,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.29
181,East of England,Co-amoxiclav,2021-07-01,29.91,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.29
182,East of England,Gentamicin,2021-07-01,9.05,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.29
183,East of England,Piperacillin with tazobactam,2021-07-01,22.27,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.29
184,East of England,Third Generation Cephalosporins,2021-07-01,14.41,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.29
185,East of England,Amikacin,2021-07-01,1.37,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.29
186,East of England,Carbapenems,2021-07-01,6.45,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.29
187,East of England,Ceftazidime,2021-07-01,4.24,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.29
188,East of England,Ciprofloxacin,2021-07-01,7.63,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.29
189,East of England,Piperacillin with tazobactam,2021-07-01,6.35,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.29
190,East of England,Macrolides,2021-07-01,14.89,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.29
191,East of England,Penicillin,2021-07-01,5.88,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.29
192,East of England,Glycopeptides,2021-08-01,33.0,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.3
193,East of England,Glycopeptides,2021-08-01,31.33,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.3
194,East of England,Amikacin,2021-08-01,2.4,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.3
195,East of England,Carbapenems,2021-08-01,0.0,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.3
196,East of England,Ciprofloxacin,2021-08-01,13.81,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.3
197,East of England,Co-amoxiclav,2021-08-01,32.49,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.3
198,East of England,Gentamicin,2021-08-01,10.08,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.3
199,East of England,Piperacillin with tazobactam,2021-08-01,23.18,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.3
200,East of England,Third Generation Cephalosporins,2021-08-01,15.02,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.3
201,East of England,Amikacin,2021-08-01,1.03,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.3
202,East of England,Carbapenems,2021-08-01,7.38,p_aeruginosa,p_aeruginosa__Carbapenems__East of England,East of England,1.3
203,East of England,Ceftazidime,2021-08-01,5.44,p_aeruginosa,p_aeruginosa__Ceftazidime__East of England,East of England,1.3
204,East of England,Ciprofloxacin,2021-08-01,7.05,p_aeruginosa,p_aeruginosa__Ciprofloxacin__East of England,East of England,1.3
205,East of England,Piperacillin with tazobactam,2021-08-01,9.4,p_aeruginosa,p_aeruginosa__Piperacillin with tazobactam__East of England,East of England,1.3
206,East of England,Macrolides,2021-08-01,15.79,s_pneumoniae,s_pneumoniae__Macrolides__East of England,East of England,1.3
207,East of England,Penicillin,2021-08-01,6.67,s_pneumoniae,s_pneumoniae__Penicillin__East of England,East of England,1.3
208,East of England,Glycopeptides,2021-09-01,35.33,e_faecalis,e_faecalis__Glycopeptides__East of England,East of England,1.32
209,East of England,Glycopeptides,2021-09-01,34.0,e_faecium,e_faecium__Glycopeptides__East of England,East of England,1.32
210,East of England,Amikacin,2021-09-01,4.29,k_pneumoniae,k_pneumoniae__Amikacin__East of England,East of England,1.32
211,East of England,Carbapenems,2021-09-01,0.0,k_pneumoniae,k_pneumoniae__Carbapenems__East of England,East of England,1.32
212,East of England,Ciprofloxacin,2021-09-01,16.52,k_pneumoniae,k_pneumoniae__Ciprofloxacin__East of England,East of England,1.32
213,East of England,Co-amoxiclav,2021-09-01,31.88,k_pneumoniae,k_pneumoniae__Co-amoxiclav__East of England,East of England,1.32
214,East of England,Gentamicin,2021-09-01,10.43,k_pneumoniae,k_pneumoniae__Gentamicin__East of England,East of England,1.32
215,East of England,Piperacillin with tazobactam,2021-09-01,23.66,k_pneumoniae,k_pneumoniae__Piperacillin with tazobactam__East of England,East of England,1.32
216,East of England,Third Generation Cephalosporins,2021-09-01,16.22,k_pneumoniae,k_pneumoniae__Third Generation Cephalosporins__East of England,East of England,1.32
217,East of England,Amikacin,2021-09-01,0.99,p_aeruginosa,p_aeruginosa__Amikacin__East of England,East of England,1.32
