theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period,metric-value
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/09/2023,0.75,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/08/2023,1.61,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/07/2023,2.36,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/06/2023,1.41,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/05/2023,1.45,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/04/2023,0.76,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/03/2023,1.82,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/02/2023,0.81,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2023,01/01/2023,0.78,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/12/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/11/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/10/2022,0.75,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/09/2022,2.16,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/08/2022,2.26,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/07/2022,2.36,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/06/2022,0.79,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/05/2022,0.88,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/04/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/03/2022,1.05,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/02/2022,1,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2022,01/01/2022,1.83,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/12/2021,0.73,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/11/2021,0.74,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/10/2021,1.55,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/09/2021,2.68,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/08/2021,2.34,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/07/2021,0.71,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/06/2021,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/05/2021,0.76,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/04/2021,0.79,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/03/2021,0.71,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/02/2021,0.71,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2021,01/01/2021,0.68,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2020,01/12/2020,1.61,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2020,01/11/2020,1.64,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2020,01/10/2020,1.74,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2020,01/09/2020,0.89,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Amikacin,2020,01/08/2020,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/06/2025,0.94,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/05/2025,1.32,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/04/2025,0.88,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/03/2025,1.71,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/02/2025,1.28,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2025,01/01/2025,2.18,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/12/2024,3.17,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/11/2024,3.14,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/10/2024,3.59,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/09/2024,1.79,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/08/2024,2.18,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/07/2024,1.81,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/06/2024,2.25,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/05/2024,1.47,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/04/2024,1.01,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/03/2024,1.1,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/02/2024,2.81,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2024,01/01/2024,2.17,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/12/2023,1.49,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/11/2023,0.48,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/10/2023,0.49,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/09/2023,0.54,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/08/2023,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/07/2023,0.56,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/06/2023,0.55,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/05/2023,0.58,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/04/2023,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/03/2023,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/02/2023,0.65,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2023,01/01/2023,1.79,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/12/2022,1.69,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/11/2022,1.7,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/10/2022,0.57,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/09/2022,0.58,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/08/2022,0.61,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/07/2022,0.65,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/06/2022,0.66,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/05/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/04/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/03/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/02/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2022,01/01/2022,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/12/2021,0.58,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/11/2021,0.62,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/10/2021,1.99,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/09/2021,1.46,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/08/2021,1.24,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/07/2021,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/06/2021,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/05/2021,1.26,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/04/2021,2.03,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/03/2021,1.84,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/02/2021,1.25,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2021,01/01/2021,0.59,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2020,01/12/2020,0.66,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2020,01/11/2020,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2020,01/10/2020,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2020,01/09/2020,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Carbapenems,2020,01/08/2020,0,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/06/2025,12.43,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/05/2025,11.39,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/04/2025,11.43,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/03/2025,15.84,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/02/2025,17.19,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2025,01/01/2025,17.84,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/12/2024,18.14,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/11/2024,16.91,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/10/2024,17.79,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/09/2024,13.59,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/08/2024,14.35,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/07/2024,14.5,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/06/2024,15.46,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/05/2024,17.37,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/04/2024,15.34,FALSE,
infectious_disease,antimicrobial_resistance,K-pneumoniae,UKHSA Region,East Midlands,k-pneumoniae_testing_bacteraemiaPercentResistantRollingMonth,all,all,Ciprofloxacin,2024,01/03/2024,17.65,FALSE,
