,geography,stratum,date,organism,resistance_pct
45,East Midlands,Amikacin,2024-01-05,K-pneumoniae,2.24
46,East Midlands,Amikacin,2024-01-06,K-pneumoniae,3.17
47,East Midlands,Amikacin,2024-01-07,K-pneumoniae,1.61
48,East Midlands,Amikacin,2024-01-08,K-pneumoniae,2.44
49,East Midlands,Amikacin,2024-01-09,K-pneumoniae,1.5
50,East Midlands,Amikacin,2024-01-10,K-pneumoniae,1.47
51,East Midlands,Amikacin,2024-01-11,K-pneumoniae,0.71
52,East Midlands,Amikacin,2024-01-12,K-pneumoniae,1.36
53,East Midlands,Amikacin,2025-01-01,K-pneumoniae,1.97
54,East Midlands,Amikacin,2025-01-02,K-pneumoniae,1.35
55,East Midlands,Amikacin,2025-01-03,K-pneumoniae,2.13
56,East Midlands,Amikacin,2025-01-04,K-pneumoniae,1.47
57,East Midlands,Amikacin,2025-01-05,K-pneumoniae,1.45
58,East Midlands,Amikacin,2025-01-06,K-pneumoniae,0.0
59,East Midlands,Carbapenems,2020-01-08,K-pneumoniae,0.0
60,East Midlands,Carbapenems,2020-01-09,K-pneumoniae,0.0
61,East Midlands,Carbapenems,2020-01-10,K-pneumoniae,0.0
62,East Midlands,Carbapenems,2020-01-11,K-pneumoniae,0.0
63,East Midlands,Carbapenems,2020-01-12,K-pneumoniae,0.66
64,East Midlands,Carbapenems,2021-01-01,K-pneumoniae,0.59
65,East Midlands,Carbapenems,2021-01-02,K-pneumoniae,1.25
66,East Midlands,Carbapenems,2021-01-03,K-pneumoniae,1.84
67,East Midlands,Carbapenems,2021-01-04,K-pneumoniae,2.03
68,East Midlands,Carbapenems,2021-01-05,K-pneumoniae,1.26
69,East Midlands,Carbapenems,2021-01-06,K-pneumoniae,0.0
70,East Midlands,Carbapenems,2021-01-07,K-pneumoniae,0.0
71,East Midlands,Carbapenems,2021-01-08,K-pneumoniae,1.24
72,East Midlands,Carbapenems,2021-01-09,K-pneumoniae,1.46
73,East Midlands,Carbapenems,2021-01-10,K-pneumoniae,1.99
74,East Midlands,Carbapenems,2021-01-11,K-pneumoniae,0.62
75,East Midlands,Carbapenems,2021-01-12,K-pneumoniae,0.58
76,East Midlands,Carbapenems,2022-01-01,K-pneumoniae,0.0
77,East Midlands,Carbapenems,2022-01-02,K-pneumoniae,0.0
78,East Midlands,Carbapenems,2022-01-03,K-pneumoniae,0.0
79,East Midlands,Carbapenems,2022-01-04,K-pneumoniae,0.0
80,East Midlands,Carbapenems,2022-01-05,K-pneumoniae,0.0
81,East Midlands,Carbapenems,2022-01-06,K-pneumoniae,0.66
82,East Midlands,Carbapenems,2022-01-07,K-pneumoniae,0.65
83,East Midlands,Carbapenems,2022-01-08,K-pneumoniae,0.61
84,East Midlands,Carbapenems,2022-01-09,K-pneumoniae,0.58
85,East Midlands,Carbapenems,2022-01-10,K-pneumoniae,0.57
86,East Midlands,Carbapenems,2022-01-11,K-pneumoniae,1.7
87,East Midlands,Carbapenems,2022-01-12,K-pneumoniae,1.69
88,East Midlands,Carbapenems,2023-01-01,K-pneumoniae,1.79
89,East Midlands,Carbapenems,2023-01-02,K-pneumoniae,0.65
90,East Midlands,Carbapenems,2023-01-03,K-pneumoniae,0.0
91,East Midlands,Carbapenems,2023-01-04,K-pneumoniae,0.0
92,East Midlands,Carbapenems,2023-01-05,K-pneumoniae,0.58
93,East Midlands,Carbapenems,2023-01-06,K-pneumoniae,0.55
94,East Midlands,Carbapenems,2023-01-07,K-pneumoniae,0.56
95,East Midlands,Carbapenems,2023-01-08,K-pneumoniae,0.0
96,East Midlands,Carbapenems,2023-01-09,K-pneumoniae,0.54
97,East Midlands,Carbapenems,2023-01-10,K-pneumoniae,0.49
98,East Midlands,Carbapenems,2023-01-11,K-pneumoniae,0.48
99,East Midlands,Carbapenems,2023-01-12,K-pneumoniae,1.49
100,East Midlands,Carbapenems,2024-01-01,K-pneumoniae,2.17
101,East Midlands,Carbapenems,2024-01-02,K-pneumoniae,2.81
102,East Midlands,Carbapenems,2024-01-03,K-pneumoniae,1.1
103,East Midlands,Carbapenems,2024-01-04,K-pneumoniae,1.01
104,East Midlands,Carbapenems,2024-01-05,K-pneumoniae,1.47
105,East Midlands,Carbapenems,2024-01-06,K-pneumoniae,2.25
106,East Midlands,Carbapenems,2024-01-07,K-pneumoniae,1.81
107,East Midlands,Carbapenems,2024-01-08,K-pneumoniae,2.18
108,East Midlands,Carbapenems,2024-01-09,K-pneumoniae,1.79
109,East Midlands,Carbapenems,2024-01-10,K-pneumoniae,3.59
110,East Midlands,Carbapenems,2024-01-11,K-pneumoniae,3.14
111,East Midlands,Carbapenems,2024-01-12,K-pneumoniae,3.17
112,East Midlands,Carbapenems,2025-01-01,K-pneumoniae,2.18
113,East Midlands,Carbapenems,2025-01-02,K-pneumoniae,1.28
114,East Midlands,Carbapenems,2025-01-03,K-pneumoniae,1.71
115,East Midlands,Carbapenems,2025-01-04,K-pneumoniae,0.88
116,East Midlands,Carbapenems,2025-01-05,K-pneumoniae,1.32
117,East Midlands,Carbapenems,2025-01-06,K-pneumoniae,0.94
118,East Midlands,Ciprofloxacin,2020-01-08,K-pneumoniae,7.38
119,East Midlands,Ciprofloxacin,2020-01-09,K-pneumoniae,6.82
120,East Midlands,Ciprofloxacin,2020-01-10,K-pneumoniae,7.14
121,East Midlands,Ciprofloxacin,2020-01-11,K-pneumoniae,7.59
122,East Midlands,Ciprofloxacin,2020-01-12,K-pneumoniae,9.59
123,East Midlands,Ciprofloxacin,2021-01-01,K-pneumoniae,8.43
124,East Midlands,Ciprofloxacin,2021-01-02,K-pneumoniae,10.76
125,East Midlands,Ciprofloxacin,2021-01-03,K-pneumoniae,11.18
126,East Midlands,Ciprofloxacin,2021-01-04,K-pneumoniae,15.17
127,East Midlands,Ciprofloxacin,2021-01-05,K-pneumoniae,12.18
128,East Midlands,Ciprofloxacin,2021-01-06,K-pneumoniae,12.1
129,East Midlands,Ciprofloxacin,2021-01-07,K-pneumoniae,8.14
130,East Midlands,Ciprofloxacin,2021-01-08,K-pneumoniae,10.78
131,East Midlands,Ciprofloxacin,2021-01-09,K-pneumoniae,9.4
132,East Midlands,Ciprofloxacin,2021-01-10,K-pneumoniae,15.38
133,East Midlands,Ciprofloxacin,2021-01-11,K-pneumoniae,13.12
134,East Midlands,Ciprofloxacin,2021-01-12,K-pneumoniae,12.2
135,East Midlands,Ciprofloxacin,2022-01-01,K-pneumoniae,10.0
136,East Midlands,Ciprofloxacin,2022-01-02,K-pneumoniae,13.6
137,East Midlands,Ciprofloxacin,2022-01-03,K-pneumoniae,16.67
138,East Midlands,Ciprofloxacin,2022-01-04,K-pneumoniae,16.54
139,East Midlands,Ciprofloxacin,2022-01-05,K-pneumoniae,13.99
140,East Midlands,Ciprofloxacin,2022-01-06,K-pneumoniae,11.56
141,East Midlands,Ciprofloxacin,2022-01-07,K-pneumoniae,12.5
142,East Midlands,Ciprofloxacin,2022-01-08,K-pneumoniae,11.88
143,East Midlands,Ciprofloxacin,2022-01-09,K-pneumoniae,13.53
144,East Midlands,Ciprofloxacin,2022-01-10,K-pneumoniae,9.94
145,East Midlands,Ciprofloxacin,2022-01-11,K-pneumoniae,16.57
146,East Midlands,Ciprofloxacin,2022-01-12,K-pneumoniae,16.95
147,East Midlands,Ciprofloxacin,2023-01-01,K-pneumoniae,19.76
148,East Midlands,Ciprofloxacin,2023-01-02,K-pneumoniae,12.99
149,East Midlands,Ciprofloxacin,2023-01-03,K-pneumoniae,15.11
150,East Midlands,Ciprofloxacin,2023-01-04,K-pneumoniae,12.99
151,East Midlands,Ciprofloxacin,2023-01-05,K-pneumoniae,14.79
152,East Midlands,Ciprofloxacin,2023-01-06,K-pneumoniae,10.86
153,East Midlands,Ciprofloxacin,2023-01-07,K-pneumoniae,11.45
154,East Midlands,Ciprofloxacin,2023-01-08,K-pneumoniae,8.5
155,East Midlands,Ciprofloxacin,2023-01-09,K-pneumoniae,12.64
156,East Midlands,Ciprofloxacin,2023-01-10,K-pneumoniae,12.89
157,East Midlands,Ciprofloxacin,2023-01-11,K-pneumoniae,15.76
158,East Midlands,Ciprofloxacin,2023-01-12,K-pneumoniae,14.29
159,East Midlands,Ciprofloxacin,2024-01-01,K-pneumoniae,17.06
160,East Midlands,Ciprofloxacin,2024-01-02,K-pneumoniae,15.06
161,East Midlands,Ciprofloxacin,2024-01-03,K-pneumoniae,17.65
162,East Midlands,Ciprofloxacin,2024-01-04,K-pneumoniae,15.34
163,East Midlands,Ciprofloxacin,2024-01-05,K-pneumoniae,17.37
164,East Midlands,Ciprofloxacin,2024-01-06,K-pneumoniae,15.46
165,East Midlands,Ciprofloxacin,2024-01-07,K-pneumoniae,14.5
166,East Midlands,Ciprofloxacin,2024-01-08,K-pneumoniae,14.35
167,East Midlands,Ciprofloxacin,2024-01-09,K-pneumoniae,13.59
168,East Midlands,Ciprofloxacin,2024-01-10,K-pneumoniae,17.79
169,East Midlands,Ciprofloxacin,2024-01-11,K-pneumoniae,16.91
170,East Midlands,Ciprofloxacin,2024-01-12,K-pneumoniae,18.14
171,East Midlands,Ciprofloxacin,2025-01-01,K-pneumoniae,17.84
172,East Midlands,Ciprofloxacin,2025-01-02,K-pneumoniae,17.19
173,East Midlands,Ciprofloxacin,2025-01-03,K-pneumoniae,15.84
174,East Midlands,Ciprofloxacin,2025-01-04,K-pneumoniae,11.43
175,East Midlands,Ciprofloxacin,2025-01-05,K-pneumoniae,11.39
176,East Midlands,Ciprofloxacin,2025-01-06,K-pneumoniae,12.43
177,East Midlands,Co-amoxiclav,2020-01-08,K-pneumoniae,22.5
178,East Midlands,Co-amoxiclav,2020-01-09,K-pneumoniae,21.54
179,East Midlands,Co-amoxiclav,2020-01-10,K-pneumoniae,21.58
180,East Midlands,Co-amoxiclav,2020-01-11,K-pneumoniae,25.52
181,East Midlands,Co-amoxiclav,2020-01-12,K-pneumoniae,31.25
182,East Midlands,Co-amoxiclav,2021-01-01,K-pneumoniae,32.92
183,East Midlands,Co-amoxiclav,2021-01-02,K-pneumoniae,33.99
184,East Midlands,Co-amoxiclav,2021-01-03,K-pneumoniae,28.66
185,East Midlands,Co-amoxiclav,2021-01-04,K-pneumoniae,27.59
186,East Midlands,Co-amoxiclav,2021-01-05,K-pneumoniae,23.87
187,East Midlands,Co-amoxiclav,2021-01-06,K-pneumoniae,25.64
188,East Midlands,Co-amoxiclav,2021-01-07,K-pneumoniae,24.56
189,East Midlands,Co-amoxiclav,2021-01-08,K-pneumoniae,24.55
190,East Midlands,Co-amoxiclav,2021-01-09,K-pneumoniae,22.82
191,East Midlands,Co-amoxiclav,2021-01-10,K-pneumoniae,29.11
192,East Midlands,Co-amoxiclav,2021-01-11,K-pneumoniae,31.29
193,East Midlands,Co-amoxiclav,2021-01-12,K-pneumoniae,30.99
194,East Midlands,Co-amoxiclav,2022-01-01,K-pneumoniae,24.31
195,East Midlands,Co-amoxiclav,2022-01-02,K-pneumoniae,22.83
196,East Midlands,Co-amoxiclav,2022-01-03,K-pneumoniae,21.43
197,East Midlands,Co-amoxiclav,2022-01-04,K-pneumoniae,22.79
198,East Midlands,Co-amoxiclav,2022-01-05,K-pneumoniae,20.69
199,East Midlands,Co-amoxiclav,2022-01-06,K-pneumoniae,21.48
200,East Midlands,Co-amoxiclav,2022-01-07,K-pneumoniae,19.74
201,East Midlands,Co-amoxiclav,2022-01-08,K-pneumoniae,19.05
202,East Midlands,Co-amoxiclav,2022-01-09,K-pneumoniae,21.51
203,East Midlands,Co-amoxiclav,2022-01-10,K-pneumoniae,22.41
204,East Midlands,Co-amoxiclav,2022-01-11,K-pneumoniae,27.75
205,East Midlands,Co-amoxiclav,2022-01-12,K-pneumoniae,29.21
206,East Midlands,Co-amoxiclav,2023-01-01,K-pneumoniae,31.74
207,East Midlands,Co-amoxiclav,2023-01-02,K-pneumoniae,27.81
208,East Midlands,Co-amoxiclav,2023-01-03,K-pneumoniae,28.47
209,East Midlands,Co-amoxiclav,2023-01-04,K-pneumoniae,25.5
210,East Midlands,Co-amoxiclav,2023-01-05,K-pneumoniae,24.7
211,East Midlands,Co-amoxiclav,2023-01-06,K-pneumoniae,20.11
212,East Midlands,Co-amoxiclav,2023-01-07,K-pneumoniae,21.97
213,East Midlands,Co-amoxiclav,2023-01-08,K-pneumoniae,21.74
214,East Midlands,Co-amoxiclav,2023-01-09,K-pneumoniae,25.82
215,East Midlands,Co-amoxiclav,2023-01-10,K-pneumoniae,26.9
216,East Midlands,Co-amoxiclav,2023-01-11,K-pneumoniae,31.22
217,East Midlands,Co-amoxiclav,2023-01-12,K-pneumoniae,33.16
218,East Midlands,Co-amoxiclav,2024-01-01,K-pneumoniae,33.72
219,East Midlands,Co-amoxiclav,2024-01-02,K-pneumoniae,32.53
220,East Midlands,Co-amoxiclav,2024-01-03,K-pneumoniae,29.31
221,East Midlands,Co-amoxiclav,2024-01-04,K-pneumoniae,29.69
222,East Midlands,Co-amoxiclav,2024-01-05,K-pneumoniae,29.95
223,East Midlands,Co-amoxiclav,2024-01-06,K-pneumoniae,32.7
224,East Midlands,Co-amoxiclav,2024-01-07,K-pneumoniae,29.67
225,East Midlands,Co-amoxiclav,2024-01-08,K-pneumoniae,27.31
226,East Midlands,Co-amoxiclav,2024-01-09,K-pneumoniae,23.36
227,East Midlands,Co-amoxiclav,2024-01-10,K-pneumoniae,24.4
228,East Midlands,Co-amoxiclav,2024-01-11,K-pneumoniae,26.09
229,East Midlands,Co-amoxiclav,2024-01-12,K-pneumoniae,27.41
230,East Midlands,Co-amoxiclav,2025-01-01,K-pneumoniae,30.58
231,East Midlands,Co-amoxiclav,2025-01-02,K-pneumoniae,30.99
232,East Midlands,Co-amoxiclav,2025-01-03,K-pneumoniae,31.16
233,East Midlands,Co-amoxiclav,2025-01-04,K-pneumoniae,29.05
234,East Midlands,Co-amoxiclav,2025-01-05,K-pneumoniae,26.09
235,East Midlands,Co-amoxiclav,2025-01-06,K-pneumoniae,27.27
236,East Midlands,Gentamicin,2020-01-08,K-pneumoniae,4.92
237,East Midlands,Gentamicin,2020-01-09,K-pneumoniae,3.08
238,East Midlands,Gentamicin,2020-01-10,K-pneumoniae,2.19
239,East Midlands,Gentamicin,2020-01-11,K-pneumoniae,2.05
240,East Midlands,Gentamicin,2020-01-12,K-pneumoniae,5.33
241,East Midlands,Gentamicin,2021-01-01,K-pneumoniae,4.68
242,East Midlands,Gentamicin,2021-01-02,K-pneumoniae,6.75
243,East Midlands,Gentamicin,2021-01-03,K-pneumoniae,6.1
244,East Midlands,Gentamicin,2021-01-04,K-pneumoniae,6.76
245,East Midlands,Gentamicin,2021-01-05,K-pneumoniae,6.92
246,East Midlands,Gentamicin,2021-01-06,K-pneumoniae,8.12
247,East Midlands,Gentamicin,2021-01-07,K-pneumoniae,7.43
248,East Midlands,Gentamicin,2021-01-08,K-pneumoniae,7.14
249,East Midlands,Gentamicin,2021-01-09,K-pneumoniae,5.3
250,East Midlands,Gentamicin,2021-01-10,K-pneumoniae,8.07
251,East Midlands,Gentamicin,2021-01-11,K-pneumoniae,6.67
252,East Midlands,Gentamicin,2021-01-12,K-pneumoniae,7.02
253,East Midlands,Gentamicin,2022-01-01,K-pneumoniae,5.52
254,East Midlands,Gentamicin,2022-01-02,K-pneumoniae,8.46
255,East Midlands,Gentamicin,2022-01-03,K-pneumoniae,7.03
256,East Midlands,Gentamicin,2022-01-04,K-pneumoniae,5.07
257,East Midlands,Gentamicin,2022-01-05,K-pneumoniae,3.42
258,East Midlands,Gentamicin,2022-01-06,K-pneumoniae,3.31
259,East Midlands,Gentamicin,2022-01-07,K-pneumoniae,4.61
260,East Midlands,Gentamicin,2022-01-08,K-pneumoniae,4.97
261,East Midlands,Gentamicin,2022-01-09,K-pneumoniae,5.26
262,East Midlands,Gentamicin,2022-01-10,K-pneumoniae,7.02
263,East Midlands,Gentamicin,2022-01-11,K-pneumoniae,8.52
264,East Midlands,Gentamicin,2022-01-12,K-pneumoniae,10.47
265,East Midlands,Gentamicin,2023-01-01,K-pneumoniae,8.64
266,East Midlands,Gentamicin,2023-01-02,K-pneumoniae,6.8
267,East Midlands,Gentamicin,2023-01-03,K-pneumoniae,5.93
268,East Midlands,Gentamicin,2023-01-04,K-pneumoniae,6.76
269,East Midlands,Gentamicin,2023-01-05,K-pneumoniae,8.07
270,East Midlands,Gentamicin,2023-01-06,K-pneumoniae,8.43
271,East Midlands,Gentamicin,2023-01-07,K-pneumoniae,6.92
272,East Midlands,Gentamicin,2023-01-08,K-pneumoniae,4.55
273,East Midlands,Gentamicin,2023-01-09,K-pneumoniae,4.71
274,East Midlands,Gentamicin,2023-01-10,K-pneumoniae,4.74
275,East Midlands,Gentamicin,2023-01-11,K-pneumoniae,6.19
276,East Midlands,Gentamicin,2023-01-12,K-pneumoniae,8.33
277,East Midlands,Gentamicin,2024-01-01,K-pneumoniae,12.57
278,East Midlands,Gentamicin,2024-01-02,K-pneumoniae,11.7
279,East Midlands,Gentamicin,2024-01-03,K-pneumoniae,7.23
280,East Midlands,Gentamicin,2024-01-04,K-pneumoniae,5.91
281,East Midlands,Gentamicin,2024-01-05,K-pneumoniae,5.82
282,East Midlands,Gentamicin,2024-01-06,K-pneumoniae,6.94
283,East Midlands,Gentamicin,2024-01-07,K-pneumoniae,4.25
284,East Midlands,Gentamicin,2024-01-08,K-pneumoniae,7.17
285,East Midlands,Gentamicin,2024-01-09,K-pneumoniae,7.37
286,East Midlands,Gentamicin,2024-01-10,K-pneumoniae,10.28
287,East Midlands,Gentamicin,2024-01-11,K-pneumoniae,9.0
288,East Midlands,Gentamicin,2024-01-12,K-pneumoniae,10.4
289,East Midlands,Gentamicin,2025-01-01,K-pneumoniae,10.8
290,East Midlands,Gentamicin,2025-01-02,K-pneumoniae,8.29
291,East Midlands,Gentamicin,2025-01-03,K-pneumoniae,7.73
292,East Midlands,Gentamicin,2025-01-04,K-pneumoniae,5.61
293,East Midlands,Gentamicin,2025-01-05,K-pneumoniae,6.07
294,East Midlands,Gentamicin,2025-01-06,K-pneumoniae,6.03
295,East Midlands,Piperacillin with tazobactam,2020-01-08,K-pneumoniae,11.57
296,East Midlands,Piperacillin with tazobactam,2020-01-09,K-pneumoniae,10.69
297,East Midlands,Piperacillin with tazobactam,2020-01-10,K-pneumoniae,10.79
298,East Midlands,Piperacillin with tazobactam,2020-01-11,K-pneumoniae,12.41
299,East Midlands,Piperacillin with tazobactam,2020-01-12,K-pneumoniae,16.44
300,East Midlands,Piperacillin with tazobactam,2021-01-01,K-pneumoniae,15.66
301,East Midlands,Piperacillin with tazobactam,2021-01-02,K-pneumoniae,17.61
302,East Midlands,Piperacillin with tazobactam,2021-01-03,K-pneumoniae,15.53
303,East Midlands,Piperacillin with tazobactam,2021-01-04,K-pneumoniae,17.12
304,East Midlands,Piperacillin with tazobactam,2021-01-05,K-pneumoniae,16.67
305,East Midlands,Piperacillin with tazobactam,2021-01-06,K-pneumoniae,16.56
306,East Midlands,Piperacillin with tazobactam,2021-01-07,K-pneumoniae,14.55
307,East Midlands,Piperacillin with tazobactam,2021-01-08,K-pneumoniae,11.92
308,East Midlands,Piperacillin with tazobactam,2021-01-09,K-pneumoniae,11.45
309,East Midlands,Piperacillin with tazobactam,2021-01-10,K-pneumoniae,18.62
310,East Midlands,Piperacillin with tazobactam,2021-01-11,K-pneumoniae,21.52
311,East Midlands,Piperacillin with tazobactam,2021-01-12,K-pneumoniae,19.88
312,East Midlands,Piperacillin with tazobactam,2022-01-01,K-pneumoniae,14.18
313,East Midlands,Piperacillin with tazobactam,2022-01-02,K-pneumoniae,11.2
314,East Midlands,Piperacillin with tazobactam,2022-01-03,K-pneumoniae,11.02
315,East Midlands,Piperacillin with tazobactam,2022-01-04,K-pneumoniae,13.87
316,East Midlands,Piperacillin with tazobactam,2022-01-05,K-pneumoniae,11.49
317,East Midlands,Piperacillin with tazobactam,2022-01-06,K-pneumoniae,11.26
318,East Midlands,Piperacillin with tazobactam,2022-01-07,K-pneumoniae,9.87
319,East Midlands,Piperacillin with tazobactam,2022-01-08,K-pneumoniae,10.37
320,East Midlands,Piperacillin with tazobactam,2022-01-09,K-pneumoniae,14.12
321,East Midlands,Piperacillin with tazobactam,2022-01-10,K-pneumoniae,14.53
322,East Midlands,Piperacillin with tazobactam,2022-01-11,K-pneumoniae,20.93
323,East Midlands,Piperacillin with tazobactam,2022-01-12,K-pneumoniae,22.91
324,East Midlands,Piperacillin with tazobactam,2023-01-01,K-pneumoniae,23.64
325,East Midlands,Piperacillin with tazobactam,2023-01-02,K-pneumoniae,19.21
326,East Midlands,Piperacillin with tazobactam,2023-01-03,K-pneumoniae,17.78
327,East Midlands,Piperacillin with tazobactam,2023-01-04,K-pneumoniae,19.33
328,East Midlands,Piperacillin with tazobactam,2023-01-05,K-pneumoniae,18.56
329,East Midlands,Piperacillin with tazobactam,2023-01-06,K-pneumoniae,15.52
330,East Midlands,Piperacillin with tazobactam,2023-01-07,K-pneumoniae,17.24
331,East Midlands,Piperacillin with tazobactam,2023-01-08,K-pneumoniae,19.38
332,East Midlands,Piperacillin with tazobactam,2023-01-09,K-pneumoniae,22.03
333,East Midlands,Piperacillin with tazobactam,2023-01-10,K-pneumoniae,20.31
334,East Midlands,Piperacillin with tazobactam,2023-01-11,K-pneumoniae,20.0
335,East Midlands,Piperacillin with tazobactam,2023-01-12,K-pneumoniae,21.58
336,East Midlands,Piperacillin with tazobactam,2024-01-01,K-pneumoniae,22.86
337,East Midlands,Piperacillin with tazobactam,2024-01-02,K-pneumoniae,22.35
338,East Midlands,Piperacillin with tazobactam,2024-01-03,K-pneumoniae,20.69
339,East Midlands,Piperacillin with tazobactam,2024-01-04,K-pneumoniae,19.68
340,East Midlands,Piperacillin with tazobactam,2024-01-05,K-pneumoniae,22.8
341,East Midlands,Piperacillin with tazobactam,2024-01-06,K-pneumoniae,23.22
342,East Midlands,Piperacillin with tazobactam,2024-01-07,K-pneumoniae,20.93
343,East Midlands,Piperacillin with tazobactam,2024-01-08,K-pneumoniae,17.27
344,East Midlands,Piperacillin with tazobactam,2024-01-09,K-pneumoniae,15.96
345,East Midlands,Piperacillin with tazobactam,2024-01-10,K-pneumoniae,17.06
346,East Midlands,Piperacillin with tazobactam,2024-01-11,K-pneumoniae,19.07
347,East Midlands,Piperacillin with tazobactam,2024-01-12,K-pneumoniae,19.07
348,East Midlands,Piperacillin with tazobactam,2025-01-01,K-pneumoniae,23.53
349,East Midlands,Piperacillin with tazobactam,2025-01-02,K-pneumoniae,23.79
350,East Midlands,Piperacillin with tazobactam,2025-01-03,K-pneumoniae,23.04
351,East Midlands,Piperacillin with tazobactam,2025-01-04,K-pneumoniae,18.48
352,East Midlands,Piperacillin with tazobactam,2025-01-05,K-pneumoniae,15.61
353,East Midlands,Piperacillin with tazobactam,2025-01-06,K-pneumoniae,18.5
354,East Midlands,Third Generation Cephalosporins,2020-01-08,K-pneumoniae,10.57
355,East Midlands,Third Generation Cephalosporins,2020-01-09,K-pneumoniae,9.09
356,East Midlands,Third Generation Cephalosporins,2020-01-10,K-pneumoniae,6.34
357,East Midlands,Third Generation Cephalosporins,2020-01-11,K-pneumoniae,8.05
358,East Midlands,Third Generation Cephalosporins,2020-01-12,K-pneumoniae,12.58
359,East Midlands,Third Generation Cephalosporins,2021-01-01,K-pneumoniae,10.65
360,East Midlands,Third Generation Cephalosporins,2021-01-02,K-pneumoniae,13.84
361,East Midlands,Third Generation Cephalosporins,2021-01-03,K-pneumoniae,12.96
362,East Midlands,Third Generation Cephalosporins,2021-01-04,K-pneumoniae,17.01
363,East Midlands,Third Generation Cephalosporins,2021-01-05,K-pneumoniae,11.32
364,East Midlands,Third Generation Cephalosporins,2021-01-06,K-pneumoniae,9.88
365,East Midlands,Third Generation Cephalosporins,2021-01-07,K-pneumoniae,7.95
366,East Midlands,Third Generation Cephalosporins,2021-01-08,K-pneumoniae,10.59
367,East Midlands,Third Generation Cephalosporins,2021-01-09,K-pneumoniae,9.46
368,East Midlands,Third Generation Cephalosporins,2021-01-10,K-pneumoniae,12.66
369,East Midlands,Third Generation Cephalosporins,2021-01-11,K-pneumoniae,13.41
370,East Midlands,Third Generation Cephalosporins,2021-01-12,K-pneumoniae,14.04
371,East Midlands,Third Generation Cephalosporins,2022-01-01,K-pneumoniae,13.29
372,East Midlands,Third Generation Cephalosporins,2022-01-02,K-pneumoniae,15.08
373,East Midlands,Third Generation Cephalosporins,2022-01-03,K-pneumoniae,12.7
374,East Midlands,Third Generation Cephalosporins,2022-01-04,K-pneumoniae,10.22
375,East Midlands,Third Generation Cephalosporins,2022-01-05,K-pneumoniae,6.8
